"Architecture","Dedicated","Direct_X","Integrated","L2_Cache","Manufacturer","Memory_Bandwidth","Memory_Bus","Memory_Speed","Memory_Type","Name","Notebook_GPU","Open_GL","Release_Date","Resolution_WxH","SLI_Crossfire","Shader"
"Fermi GF110-375-A1 ","Yes","DX 12.0","No",768,"Nvidia",194.5,384,1013,"GDDR5","GeForce GTX 580 EVGA CoD Black Ops 1.5GB Edition","No","4.5","
09-Nov-2010 ","2560x1600","Yes","5"
"Fermi GF110-375-A1 ","Yes","DX 12.0","No",768,"Nvidia",192.4,384,1002,"GDDR5","GeForce GTX 580 Asus DirectCU II Edition","No","4.5","
01-Jan-2011 ","2560x1600","Yes","5"
"Fermi GF110-375-A1 ","Yes","DX 12.0","No",768,"Nvidia",202.2,384,1053,"GDDR5","GeForce GTX 580 CUHC 3GB","No","4.5","
01-Nov-2010 ","2560x1600","Yes","5"
"Fermi GF110-375-A1 ","Yes","DX 12.0","No",768,"Nvidia",194.5,384,1013,"GDDR5","GeForce GTX 580 EVGA DS Superclocked 1.5GB Edition","No","4.5","
22-Apr-2011 ","2560x1600","Yes","5"
"Fermi GF110-375-A1 ","Yes","DX 12.0","No",768,"Nvidia",192.4,384,1002,"GDDR5","GeForce GTX 580 Asus Matrix Edition","No","4.5","
01-May-2011 ","2560x1600","Yes","5"
"Fermi GF110-375-A1 ","Yes","DX 12.0","No",768,"Nvidia",202.2,384,1053,"GDDR5","GeForce GTX 580 EVGA Classified Ultra 3GB Edition","No","4.5","
25-Nov-2011 ","2560x1600","Yes","5"
"Fermi GF110-375-A1 ","Yes","DX 12.0","No",768,"Nvidia",192.4,384,1002,"GDDR5","GeForce GTX 580","No","4.5","
09-Nov-2010 ","2560x1600","Yes","5"
"Fermi GF110-275-A1 ","Yes","DX 12.0","No",640,"Nvidia",156,320,975,"GDDR5","GeForce GTX 570 Sonic Edition","No","4.5","
01-Jun-2011 ","2560x1600","Yes","5"
"Fermi GF110-375-A1 ","Yes","DX 12.0","No",768,"Nvidia",192.4,384,1002,"GDDR5","GeForce GTX 580 EVGA 3GB Edition","No","4.5","
27-Jun-2011 ","2560x1600","Yes","5"
"Fermi GF110-275-A1 ","Yes","DX 12.0","No",640,"Nvidia",160,320,1000,"GDDR5","GeForce GTX 570 SP Edition ","No","4.5","
01-Dec-2010 ","2560x1600","Yes","5"
"Fermi GF110-275-A1 (x2) ","Yes","DX 12.0","No",6402,"Nvidia",304,320,950,"GDDR5","GeForce GTX 570 SLI","No","4.5","
01-Dec-2010 ","2560x1600","Yes","5"
"Fermi GF110-275-A1 ","Yes","DX 12.0","No",640,"Nvidia",152,320,950,"GDDR5","GeForce GTX 570 MSI Power Edition","No","4.5","
01-Apr-2011 ","2560x1600","Yes","5"
"Fermi GF110-275-A1 ","Yes","DX 12.0","No",640,"Nvidia",160,320,1000,"GDDR5","GeForce GTX 570 MSI OC Power Edition","No","4.5","
01-Apr-2011 ","2560x1600","Yes","5"
"Fermi GF110-275-A1 ","Yes","DX 12.0","No",640,"Nvidia",160,320,1000,"GDDR5","GeForce GTX 570 GS-GLH Edition","No","4.5","
07-Dec-2010 ","2560x1600","Yes","5"
"Fermi GF110-275-A1 ","Yes","DX 12.0","No",640,"Nvidia",152,320,950,"GDDR5","GeForce GTX 570 Gigabyte SO Edition","No","4.5","
01-May-2011 ","2560x1600","Yes","5"
"Fermi GF110-275-A1 ","Yes","DX 12.0","No",640,"Nvidia",152,320,950,"GDDR5","GeForce GTX 570 Gigabyte Edition","No","4.5","
01-Apr-2011 ","2560x1600","Yes","5"
"Fermi GF110-275-A1 ","Yes","DX 12.0","No",640,"Nvidia",156,320,975,"GDDR5","GeForce GTX 570 EVGA SC Edition","No","4.5","
01-Dec-2010 ","2560x1600","Yes","5"
"Fermi GF110-275-A1 ","Yes","DX 12.0","No",640,"Nvidia",156,320,975,"GDDR5","GeForce GTX 570 Gainward Phantom Edition","No","4.5","
01-Jan-2011 ","2560x1600","Yes","5"
"Fermi GF110-275-A1 ","Yes","DX 12.0","No",640,"Nvidia",152,320,950,"GDDR5","GeForce GTX 570 Direct CU II Edition","No","4.5","
01-Jul-2011 ","2560x1600","Yes","5"
"Fermi GF110-275-A1 ","Yes","DX 12.0","No",640,"Nvidia",156,320,975,"GDDR5","GeForce GTX 570 Gainward Golden Sample 1.2GB Edition","No","4.5","
07-Dec-2010 ","2560x1600","Yes","5"
"Fermi GF110-275-A1 ","Yes","DX 12.0","No",640,"Nvidia",152,320,950,"GDDR5","GeForce GTX 570","No","4.5","
07-Dec-2010 ","2560x1600","Yes","5"
